#     lmwl      nmBband
#
  3.791988   1.000000 
  3.792044   1.000000 
  3.792099   1.000000 
  3.792154   1.000000 
  3.792210   1.000000 
  3.792265   1.000000 
  3.792320   1.000000 
  3.792376   1.000000 
  3.792431   1.000000 
  3.792487   1.000000 
  3.792542   1.000000 
  3.792597   1.000000 
  3.792653   1.000000 
  3.792708   1.000000 
  3.792764   1.000000 
  3.792819   1.000000 
  3.792875   1.000000 
  3.792930   1.000000 
  3.792986   1.000000 
  3.793041   1.000000 
  3.793096   1.000000 
  3.793152   1.000000 
  3.793207   1.000000 
  3.793262   1.000000 
  3.793318   1.000000 
  3.793373   1.000000 
  3.793429   1.000000 
  3.793484   1.000000 
  3.793540   1.000000 
  3.793595   1.000000 
  3.793650   1.000000 
  3.793706   1.000000 
  3.793761   1.000000 
  3.793816   1.000000 
  3.793872   1.000000 
  3.793927   1.000000 
  3.793983   1.000000 
  3.794038   1.000000 
  3.794093   1.000000 
  3.794149   1.000000 
  3.794204   1.000000 
  3.794260   1.000000 
  3.794315   1.000000 
  3.794370   1.000000 
  3.794426   1.000000 
  3.794482   1.000000 
  3.794537   1.000000 
  3.794592   1.000000 
  3.794648   1.000000 
  3.794703   1.000000 
  3.794759   1.000000 
  3.794814   1.000000 
  3.794869   1.000000 
  3.794925   1.000000 
  3.794980   1.000000 
  3.795036   1.000000 
  3.795091   1.000000 
  3.795146   1.000000 
  3.795202   1.000000 
  3.795257   1.000000 
  3.795312   1.000000 
  3.795368   1.000000 
  3.795424   1.000000 
  3.795479   1.000000 
  3.795534   1.000000 
  3.795590   1.000000 
  3.795645   1.000000 
  3.795700   1.000000 
  3.795756   1.000000 
  3.795811   1.000000 
  3.795867   1.000000 
  3.795922   1.000000 
  3.795978   1.000000 
  3.796033   1.000000 
  3.796088   1.000000 
  3.796144   1.000000 
  3.796199   1.000000 
  3.796255   1.000000 
  3.796310   1.000000 
  3.796365   1.000000 
  3.796421   1.000000 
  3.796476   1.000000 
  3.796531   1.000000 
  3.796587   1.000000 
  3.796642   1.000000 
  3.796698   1.000000 
  3.796753   1.000000 
  3.796808   1.000000 
  3.796864   1.000000 
  3.796919   1.000000 
  3.796975   1.000000 
  3.797030   1.000000 
  3.797086   1.000000 
